Bishtpala-Outer-Reef,Bishtpala Outer Reef
Iliria,Iliria
Annaba,Annaba - Seraidi beach
Cherchell_tizirine,Cherchell Tizirine
Plage-Mordjane,Plage Mordjane or Kala
Alao,Alao
Alofau-Gas-Station,Alofau Gas Station
Amanave-Bay,Amanave Bay
Amouli,Amouli
Asili-Point,Asili Point
Aunuu-Island,Aunu'u Island
Coral-Heads,Coral Heads
Fagaalu,Fagaalu
Faganeanea,Faganeanea
Fatuuli-Rock,Fatuuli Rock
Laulii-Tuai-Rights,Lauli'i Tuai Rights
Laulii-Tuai-Lefts,Laulii Tuai Lefts
Matuu,Matu'u
Nuuuli,Nu'uuli
Nua,Nua
Poloa,Poloa
Sliding-Rock,Sliding Rock
Tula,Tula
Utulei,Utulei
Barrada-Cuanza,Barra da Cuanza
Cabo-Ledo,Cabo Ledo
Quicombo,Quicombo
Sumbe,Sumbe
Buraco,Buraco
Chicala,Chicala
Miradouro,Miradouro
Mussulo,Mussulo
Shipwreck,Shipwreck
Dolphins,Dolphins
Junk-s-Hole,Junk's Hole
Alfonsina,Alfonsina (Mar del Plata)
Biologia,Biologia (Mar del Plata)
Cabo-Corrientes,Cabo Corrientes
Cardiel,Cardiel (Mar del Plata)
Chapadmalal,Chapadmalal
Constitucion,Constitucion (Mar del Plata)
Diva,Diva (Mar del Plata)
El-Muelle_1,El Muelle
El-Pomol,El Pomol
Escollera-Necochea,Escollera Necochea
Escollera-Sur,Escollera Sur (Mar del Plata)
Horizonte,Horizonte (Mar del Plata)
La-Paloma,La Paloma (Mar del Plata)
La-Pepita,La Pepita (Mar del Plata)
La-Perla-1-Mar-del-Plata,La Perla (Mar del Plata)
La-Popular,La Popular (Mar-del-Plata)
La-Virazon,La Virazon
Las-Cuevas,Las Cuevas
Luna-Roja,Luna Roja
Maquinita,Maquinita
Mar-de-Ajo,Mar de Ajó
Miramar_2,Miramar
Monte-Hermoso-1,Monte Hermoso
Offthewall,Off the wall
Paradise,Paradise
Pinamar,Pinamar
Mariano,Playa Mariano (Mar del Plata)
Varese,Playa Varesse
Punta-Medanos,Punta Medanos
Quequen,Quequen
Santa-Clara-del-Mar,Santa Clara del Mar
Sun-Rider,Sun Rider (Mar del Plata)
Tamarindo-Playa-Serena,Tamarindo Playa Serena (Mar del Plata)
Villa-Gesell,Villa Gesell
Waikiki,Waikiki
Yacht,Yacht
Bajada-de-los-Palitos,Bajada de los Palitos
Cabo-Raso,Cabo Raso
Playa-Union,Playa Union
